FID,LAD23CD,LAD23NM,LAD23NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,96603611.8777313,50733.6220010752,b667b950-b923-4022-af00-6635c50ac4f5
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,55230925.9235535,35500.2899879195,246c8f1c-2085-4e03-9fa3-467b81c9c605
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,248314875.052551,85085.402109369,34b2e488-7b1d-44f1-8fdf-3388895b4e6a
4,E06000004,Stockton-on-Tees, ,444940,518179,-1.30664,54.55687,205175992.440811,88842.636125599,7c12f443-acef-403a-9e38-fd5e0c36ef6b
5,E06000005,Darlington, ,428029,515648,-1.56835,54.53534,198236890.87088,90977.686391216,c53abdad-bdef-446f-adef-c5bb6208cf83
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,80380640.6577301,67017.0442134404,ba9be052-3bfe-4834-b03a-1391f27fcd5e
7,E06000007,Warrington, ,362744,388457,-2.56167,53.39164,178558338.844109,72259.4892197025,a97e8dbe-b98d-44ea-9a53-62f9a19b4892
8,E06000008,Blackburn with Darwen, ,369489,422806,-2.46361,53.7008,139459823.523758,55078.4204900098,5a4da07a-9ed5-47e1-81b1-5d477a183055
9,E06000009,Blackpool, ,332819,436635,-3.02199,53.82164,33560336.2812653,29842.638161522,1096c7f3-2885-4567-be80-e55938553f44
10,E06000010,"Kingston upon Hull, City of", ,511892,431651,-0.30385,53.76921,70864432.0178528,40935.3214478325,175fdc30-c2aa-4fb2-b9ac-0bd05fa4b324
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66195,53.88112,2407866941.82941,344625.402863536,8b8bf5d5-abcb-4357-b555-374327306a9c
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,190561036.793091,78299.3782692955,b33c8c25-a139-4de9-ab2c-c17caa8d2c92
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407,53.58643,849079577.379776,183045.100993147,f96c2fb6-c9eb-4df9-a4ba-06ee0854a17b
14,E06000014,York, ,460863,452590,-1.07376,53.96583,274859577.356049,84097.2994135012,b080ad99-86ae-4e7a-8c0d-f829da8335f0
15,E06000015,Derby, ,435611,335375,-1.47186,52.91464,78253866.9917908,40189.1423907232,27171a42-d638-416f-bc22-32dfd5b77b56
16,E06000016,Leicester, ,458946,304594,-1.1304,52.63592,73578513.6367722,40836.0918690343,ddc2b766-6217-418a-94c1-0e0b1484454c
17,E06000017,Rutland, ,492992,308655,-0.6263,52.66765,391226387.94873,96490.9151440186,4024ca0f-de9e-487d-8912-9078825f3397
18,E06000018,Nottingham, ,456082,339970,-1.16667,52.9542,75902792.380249,49589.0432466352,bbe19abe-4f20-4efd-ad9a-34bfbd45c5fa
19,E06000019,"Herefordshire, County of", ,349434,242842,-2.73931,52.08162,2180498523.92376,285477.596275853,83ea0c97-751f-4b30-a2dc-63ff024701cd
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.71417,291774651.070686,93581.6948526687,f160d7b1-cef5-4bc1-bfad-b45ee8da8e87
21,E06000021,Stoke-on-Trent, ,389438,346650,-2.15888,53.01706,92984992.6175232,51328.380975671,37f1e6da-aaae-407a-a030-ccef0caafdc2
22,E06000022,Bath and North East Somerset, ,366215,161999,-2.48657,51.35604,348634021.738243,107031.999747644,e04f6588-279e-420b-8455-1ffe55255659
23,E06000023,"Bristol, City of", ,359990,174844,-2.57742,51.47113,111171802.175953,75333.8537448843,87be6ced-0b9d-43bf-86e3-0969d72aed22
24,E06000024,North Somerset, ,347614,166718,-2.75438,51.39706,373598414.155891,114548.765645112,798b4f91-8101-4984-ac5c-2afa041215bb
25,E06000025,South Gloucestershire, ,367556,183197,-2.46926,51.54672,500441021.251228,114738.666777425,cba15c09-954b-4ddf-a37e-7f0f92120ffd
26,E06000026,Plymouth, ,249945,58255,-4.11297,50.40494,81990179.3877106,56400.2074568606,65ac6984-dac9-4c29-bac7-a1c17e1a03f8
27,E06000027,Torbay, ,289730,64613,-3.55523,50.47092,65466044.372592,55439.0025796464,fc95fb3f-e58a-4ea5-996c-f569867a1eed
28,E06000030,Swindon, ,418550,186565,-1.73369,51.57764,227705224.924774,83694.7357866074,dcdd3187-acf3-469f-a167-5a80c4f14d47
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59214,341522886.914047,97197.3576516278,2bc8b7c5-45a9-4f91-8e6f-5b30afd28ca8
30,E06000032,Luton, ,508606,222559,-0.42319,51.89102,44071111.1285782,30777.420869764,3dd3f3bc-4f86-4121-98b7-d19929ea8298
31,E06000033,Southend-on-Sea, ,587777,186837,0.706923,51.54917,44700956.3147354,36510.7026301174,604ba279-21c6-4a72-b5df-a801bd714b2d
32,E06000034,Thurrock, ,562124,181588,0.334874,51.50996,161565237.677841,73520.5981092993,fa33ff0a-bc3e-4c45-afb9-46bcd0c4ba4a
33,E06000035,Medway, ,578207,175198,0.563174,51.44772,190701602.021233,115776.949242284,f9f281d7-2559-4ccb-8720-3f190b2d1e66
34,E06000036,Bracknell Forest, ,488168,168791,-0.73364,51.41129,108239293.120392,57919.7905038733,f5711163-c6a3-4cfa-abfe-fac2b977e08a
35,E06000037,West Berkshire, ,450574,172095,-1.27365,51.44559,701196249.530785,143133.144111547,0222acb4-c978-47d7-a76a-c77ebfe82df2
36,E06000038,Reading, ,470223,173153,-0.99075,51.45301,41097521.2319565,31042.9797791782,b07fa5ec-fa9c-4edf-baee-e7fa69796d16
37,E06000039,Slough, ,498920,179246,-0.57617,51.5035,32188270.7861557,36996.6002942328,eff9e428-d544-4e42-b843-6a087cb12eae
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.48034,197830118.332253,102773.486175635,97e5e249-6b5b-4b9a-9064-cd61031467ff
39,E06000041,Wokingham, ,476624,169903,-0.89935,51.42296,179381700.613388,76405.872908386,b5afe19f-9b73-4b69-a59b-4bb0bdaa5e19
40,E06000042,Milton Keynes, ,486408,242308,-0.7407,52.07241,309296554.556664,87914.7740575697,5a98f0b1-942d-4814-aae8-a3d62c8e77c9
41,E06000043,Brighton and Hove, ,530278,106850,-0.15081,50.8465,85528177.7698097,48479.1622147345,d0f7d4f9-faa5-4c72-953e-55aab8120a34
42,E06000044,Portsmouth, ,465619,101352,-1.07006,50.808,38571595.5994453,54671.9918298277,798215de-5e4a-4203-bb9d-623f7ddbab6a
43,E06000045,Southampton, ,442303,113700,-1.39952,50.9212,51630345.7373047,37973.1530773138,b227c4d9-32b3-4aeb-ad52-ecb8dd1c79c8
44,E06000046,Isle of Wight, ,447183,85949,-1.33366,50.67129,379812371.859123,114550.363350949,4c2253db-69a6-4482-ad3a-74d1e7c6b6ce
45,E06000047,County Durham, ,410383,532242,-1.84047,54.68513,2231276003.3111,264017.925957277,11c5119e-7d9d-4234-b224-99f7a24fe3f7
46,E06000049,Cheshire East, ,380510,363462,-2.29299,53.16793,1168703022.85249,236519.350521928,362874e8-b9be-44bf-8f6c-572ead94a147
47,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.16336,919469346.735214,226900.969496563,a2c015e2-afce-4044-8355-098851f3bfa0
48,E06000051,Shropshire, ,350227,302957,-2.73667,52.62209,3188392279.66988,469669.258621116,1fc6ccd5-cfb6-4b9d-84f3-179d047825a9
49,E06000052,Cornwall, ,212497,64493,-4.64254,50.45022,3573774344.64337,561819.073930455,8a9dbcc7-770e-4042-8bdd-6c3c3c3b6bda
50,E06000053,Isles of Scilly, ,91327,11447,-6.30217,49.92332,13574584.3039238,40388.2064704666,7f6173ee-9f6b-41b7-a1a9-ff5988869c9f
51,E06000054,Wiltshire, ,405213,158862,-1.92655,51.32882,3259106350.86703,350516.733628776,1e3b14d0-049a-490c-bc77-22ae25662cec
52,E06000055,Bedford, ,505721,256463,-0.45463,52.19628,474735101.168503,115790.134434828,020534f6-4eab-46e3-b54c-3a9a082f8f62
53,E06000056,Central Bedfordshire, ,504615,234492,-0.47754,51.99903,709037205.58065,200732.992916823,880aa781-1df1-4e6e-9f4c-038721390d32
54,E06000057,Northumberland, ,395322,600700,-2.07523,55.30038,5032159793.09807,445872.829098151,b1e95f90-f17f-40ea-bb68-147ea366bc0a
55,E06000058,"Bournemouth, Christchurch and Poole", ,410815,94067,-1.84807,50.74609,162230399.945076,94589.211004829,2d1a6ea8-83cf-4c84-a20b-ba763c519f7a
56,E06000059,Dorset, ,370877,99796,-2.41459,50.79698,2489108946.81549,402023.844556136,39d8cb8c-3659-4d08-8757-4dbc2904dbe6
57,E06000060,Buckinghamshire, ,482503,208562,-0.80573,51.76967,1572324914.94857,301394.337096778,7a48c80a-8239-4115-8e7b-6c6458330156
58,E06000061,North Northamptonshire, ,493590,281719,-0.62504,52.42547,993531201.070824,173357.153847281,add4d9bf-bd32-461a-a597-81f9316d78d4
59,E06000062,West Northamptonshire, ,467187,263879,-1.01682,52.26898,1374464836.3273,214640.786771302,583f6d84-170e-4f0a-9502-30d8bffd7c80
60,E06000063,Cumberland, ,315777,533120,-3.30797,54.68606,3036749284.14549,393850.880034303,354fbff7-e4ac-4c68-92df-9a25300ba676
61,E06000064,Westmorland and Furness, ,353889,510941,-2.71336,54.4917,3793637698.49696,406349.562232455,5ec32428-ca8d-4b6b-9ece-1b08f25ed159
62,E06000065,North Yorkshire, ,429508,466514,-1.55033,54.0937,8051507689.92491,661489.441502371,12a2a0d1-29b4-4756-a455-74b4c9455844
63,E06000066,Somerset, ,309294,131078,-3.29604,51.07183,3461868403.63652,377793.937923664,a4b054fe-a518-4a4d-9cd7-a40c15c4ecfc
64,E07000008,Cambridge, ,545420,257901,0.126436,52.20017,40210644.3924103,30621.7663397527,660e7522-0c76-4390-9ad4-69724f88905b
65,E07000009,East Cambridgeshire, ,555576,275765,0.283149,52.35788,658590905.427841,166827.183704712,b0420227-ec65-4c3b-863e-d36660f9ec02
66,E07000010,Fenland, ,536355,294959,0.008927,52.53545,547646528.910065,136155.988835276,4cd344a9-f2d8-4528-8b25-ba2393f915ab
67,E07000011,Huntingdonshire, ,521008,274268,-0.2247,52.35314,911264462.598167,193578.616451643,c8ae4ac6-b9dd-4e11-9d1f-8a003cf82d3e
68,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.10805,898629643.313423,225263.736714916,2f4db4cb-3201-4f0b-b641-014c08e195b0
69,E07000032,Amber Valley, ,436166,348084,-1.46219,53.02884,267683390.034409,85443.689862184,d62feefe-2230-4e9b-a1ae-e183dea85e16
70,E07000033,Bolsover, ,448666,371547,-1.27228,53.23874,160375692.140762,81798.1734873701,7ea80dcc-c99b-43fa-8782-2c2f7180bf34
71,E07000034,Chesterfield, ,440049,373358,-1.40115,53.25574,65546901.0654907,41477.2956655913,2221eb39-41fb-4123-85f6-2af8a78012da
72,E07000035,Derbyshire Dales, ,419699,358494,-1.70708,53.12327,795616955.344765,198196.167302371,90f7d607-a07e-4a9e-a15d-01676fd482d5
73,E07000036,Erewash, ,443722,338061,-1.35089,52.93819,108892651.700104,57555.8193108911,6f3bc96f-4b00-4787-8a30-46de60eb831a
74,E07000037,High Peak, ,410473,387653,-1.844,53.38563,540619532.804108,133866.642803176,e3cdc444-ab4f-4ac8-89f2-bc55551799c0
75,E07000038,North East Derbyshire, ,437369,362955,-1.44253,53.16243,274748256.169693,129096.125420323,f252bb0a-04b1-48ef-8236-26ff79a4ccaf
76,E07000039,South Derbyshire, ,431443,325363,-1.5348,52.8249,336639990.514404,128727.256927537,2fa17ec6-b6fe-40d7-a67e-b350e82a3c48
77,E07000040,East Devon, ,313787,96051,-3.22364,50.75761,817043967.078608,169148.410291052,1d6473fb-3493-4a2d-8430-51e4ea051be7
78,E07000041,Exeter, ,293239,92005,-3.51368,50.71782,46523292.2647285,30579.486477803,ef847400-0b37-4e02-91d6-d31d9e364d6c
79,E07000042,Mid Devon, ,288065,108913,-3.5921,50.86884,906845407.042253,204295.800120554,d8f40e9e-a99d-4136-8390-231265781dc4
80,E07000043,North Devon, ,265112,132533,-3.92688,51.07621,1089319728.12869,202461.651003062,a273aa14-27d6-4c42-aac4-371d4525cda1
81,E07000044,South Hams, ,270676,54037,-3.81996,50.37196,890852058.203908,245108.075030594,fc2fafbe-7277-4972-8126-14eafe55a254
82,E07000045,Teignbridge, ,283144,80205,-3.65289,50.60981,676304600.629446,133249.304965188,9c62ec44-371f-4ac6-b865-78c41d684e3c
83,E07000046,Torridge, ,244206,114334,-4.21728,50.90739,984704199.130219,225484.611147799,c3be86bd-4a3f-4a10-80d4-a6ed5381771a
84,E07000047,West Devon, ,256378,86992,-4.03358,50.66482,1167273603.19215,203933.625657936,51002186-321a-4356-ba56-2f315abb333f
85,E07000061,Eastbourne, ,559339,99575,0.258516,50.77387,44441865.8396187,29562.3432120524,6db0e927-86f5-46e0-b7d6-b393fbc15792
86,E07000062,Hastings, ,581528,110694,0.578395,50.86724,29520571.5731354,27845.5979235645,493dd3eb-b1d6-4af7-a13a-cb63685e57b4
87,E07000063,Lewes, ,541473,105687,0.007658,50.83342,292687380.217037,93893.9483999189,0a64119e-ee97-4d63-988f-35c9199721ef
88,E07000064,Rother, ,578721,119666,0.542937,50.94871,515828355.282135,134147.973150467,45d4b6ed-36cc-44cf-914e-53cf8bc73cda
89,E07000065,Wealden, ,555048,117181,0.205156,50.93323,839410904.482975,168995.544587665,2c8bff54-4a7d-4712-bd48-1c0d315cae5d
90,E07000066,Basildon, ,571548,190849,0.475056,51.59037,110725381.478035,49853.421583141,0de3da68-c634-4162-83a1-24745755f5c3
91,E07000067,Braintree, ,577253,227337,0.575912,51.91635,612612223.094978,131743.957686245,4cd4b130-dc38-4024-855b-05975d8fb42e
92,E07000068,Brentwood, ,558560,196070,0.290091,51.64108,153007283.232521,62498.173429264,ed23ed30-e6dd-4de3-9d34-cbc0d659dd84
93,E07000069,Castle Point, ,579493,187920,0.588127,51.56159,44443607.2730637,39318.1945706816,9e672326-2af0-46d0-8f0b-4975d46b3cf1
94,E07000070,Chelmsford, ,572116,206972,0.491177,51.73503,340545363.763672,94171.2307922985,3de8f033-fa5b-4b01-a89b-62b7420cefa8
95,E07000071,Colchester, ,596947,223692,0.85982,51.87701,328509336.59861,131182.062348484,b349ea40-6fc6-4f47-83ba-aa9b9d9acf27
96,E07000072,Epping Forest, ,548919,203757,0.154146,51.71278,339297470.147377,101260.582145931,a8679ed5-e32c-4735-bdec-db6bc9ac100c
97,E07000073,Harlow, ,545276,209589,0.103888,51.76614,29849413.0761337,22091.2206166716,dfd0dca8-ec16-4e8e-a70b-93444b7f555c
98,E07000074,Maldon, ,591413,212072,0.773106,51.77458,358322811.666252,160732.307218505,be87d46b-bdc8-47b5-ad64-c05fce79e5d4
99,E07000075,Rochford, ,585979,191417,0.683442,51.5909,168469497.293022,106533.570736841,e24ed4e9-ae66-4121-b728-2a67bd82b7fa
100,E07000076,Tendring, ,614190,222141,1.108981,51.85674,329202834.939491,143575.386770316,7ee55141-f3ba-4517-94b8-a41ff8fe8199
101,E07000077,Uttlesford, ,557833,228863,0.294499,51.9359,645326011.653816,138944.486837624,b073b7a0-805d-417d-b8b5-c9d9d850d3ff
102,E07000078,Cheltenham, ,394925,222232,-2.07515,51.89861,46538844.8123627,31000.6848909493,3070e23e-f8e8-402c-8fdd-4ace08166303
103,E07000079,Cotswold, ,402126,208209,-1.97058,51.77255,1167408877.21069,277372.623466271,1a8c5b73-89b3-401c-b9b1-46c4f6dd142a
104,E07000080,Forest of Dean, ,367175,212759,-2.47755,51.81249,542623649.236031,166765.037462022,30875ff8-3d94-4f8c-a4db-8fa9c05c3ed2
105,E07000081,Gloucester, ,384071,216449,-2.23263,51.84641,40597168.8924408,28016.8047040126,964de4e9-6df8-4156-be0b-fb0a0d3e0cae
106,E07000082,Stroud, ,378807,202410,-2.30818,51.72001,472499798.662483,142765.467231402,4e81e03e-d9d4-41a0-8894-076700403f0b
107,E07000083,Tewkesbury, ,386348,226281,-2.19997,51.93487,413495708.493515,170213.857676214,80d33491-16c8-4637-bfe9-47a31fedf004
108,E07000084,Basingstoke and Deane, ,454507,151423,-1.22023,51.25937,634608479.078323,122978.522389744,b2b3b2b5-115a-4543-a5ca-05347a743e70
109,E07000085,East Hampshire, ,474408,129247,-0.93965,51.05774,514528117.616383,124378.263206045,a538af14-dde3-4dad-9a79-329d8d8bd744
110,E07000086,Eastleigh, ,447199,116807,-1.32947,50.94876,77688930.9266434,54533.7057832744,9866cae2-50f3-4677-9d99-25311e173dbe
111,E07000087,Fareham, ,453774,106319,-1.23742,50.85388,73043048.2015305,49809.4231267702,d41e4ca7-09e3-4db3-a5e5-1467dd17f4b5
112,E07000088,Gosport, ,458769,101088,-1.16731,50.80636,25668846.5793686,28823.7972566439,c0d6663a-994b-45ba-ba3e-00a792014671
113,E07000089,Hart, ,477985,154241,-0.88321,51.28198,213278822.549706,65784.3474988678,56bc2438-4cec-44d8-bd71-10c66b88d9ee
114,E07000090,Havant, ,470178,108564,-1.00398,50.87231,56149151.9479446,61331.4494946574,095d87ac-17fe-4f47-a6a4-8d496d795c85
115,E07000091,New Forest, ,428748,106524,-1.59293,50.85751,754659890.656525,172485.52889609,6161329f-ee22-4bb5-9c8b-bffea31670d6
116,E07000092,Rushmoor, ,486022,153944,-0.76807,51.27815,39457260.0413666,26459.7715878267,83b2f6ca-881e-461c-a3cb-abb18fb1c489
117,E07000093,Test Valley, ,434930,137329,-1.50214,51.13417,625590030.725357,159720.911719227,efa6f5ca-fbc2-41f3-9d32-56bac3049d58
118,E07000094,Winchester, ,453115,125901,-1.24393,51.03002,661544469.64677,142586.504044975,98d6bd63-6c6b-4e0e-9fee-44921868a9b9
119,E07000095,Broxbourne, ,534742,204251,-0.05073,51.7208,51741960.7321396,34985.1175302326,1f7359b2-3e87-4e13-87c5-a9160c459ea1
120,E07000096,Dacorum, ,500084,208745,-0.55098,51.76845,214930898.538063,93306.0025007925,a8d42612-f223-4438-a6ee-e955ce6a8468
